Include,posted_iso,Author,Headline,Summary,Tags,post_url
Y,4mo,Alexander Nevolin,Addressing the 'Piping Problem' in Climate Risk Models: Why Impacts Appear Muted,"Alexander Nevolin addresses why climate risk often appears 'not an issue' in models, attributing it to the 'piping' – how models are joined – rather than the models themselves. He illustrates this with the example of linking Integrated Assessment Models (IAMs) with Macro models, where a narrow connection using only a few parameters leads to climate impacts appearing muted in economic outcomes (inflation, growth). Crucially, there's often no feedback loop from the macroeconomy back to the IAM, creating a modeling artifact rather than reality. Nevolin urges scrutiny of these connections, as the field evolves towards more integrated models that seamlessly blend macroeconomic dynamics and technology diffusion.","Climate Risk, Economics, Science, Risk Disclosure",https://www.linkedin.com/posts/alexander-nevolin-0ba0105_another-reason-climate-risk-seems-like-not-activity-7323657242648453120-_6A1
Y,3mo,Ketan Joshi,Major Review of Climate Accounting Standards: The Dangers of Blurring Emissions and Avoided Impact,"Ketan Joshi highlights a critical review of climate accounting standards, particularly the Greenhouse Gas Protocol (GHG-P), warning against a push to blend measured emissions with 'avoided emissions' or 'measured action,' which risks rehashing the problems of carbon offsetting. He explains that 'market-based' accounting for electricity consumption, which allows companies to claim lower climate impact by financially supporting renewables, is problematic and often akin to the worst offsets, leading to under-reported emissions. Joshi argues that such blending weakens pressure on high-emitters, obscures transparency, and is being advocated by a coalition of tech companies, the 'Emissions First Partnership,' which could drastically reduce the costs and real impacts associated with emission reduction claims, ultimately distorting the true climate impact of rising power demand. He calls for improved accuracy and accountability in emissions measurement to ensure a clear picture of the problem.","Carbon Accounting, Offsets, Policies and Measures, Business Impacts, Risk Disclosure, Science",https://www.linkedin.com/pulse/why-you-should-pay-attention-major-review-climate-accounting-joshi-tocgf/
Y,3mo,Sebastian Manhart,EU Commission Explores €6 Billion Purchase Program for Permanent Carbon Removal Credits,"Sebastian Manhart announces that the EU Commission is exploring a potential €6 billion purchase program for permanent carbon removal (CDR) credits, aiming to generate demand for CDR in the 2025-2030 period. This initiative, targeting 5 Mt/year of permanent European CDR by 2030, offers various options from a European Buyers’ Club to a Centralized Procurement Agency, and could provide a real use case for CRCF credits expected to roll out in 2026. Manhart expresses optimism that this program could be a crucial vehicle to scale CDR in Europe.","Carbon Capture, Policies and Measures, Economics, New Reports",No matching URL found in provided list.
Y,2025-08-06,Joel Makower,Corporate Sustainability is Evolving Not Dying,"Makower synthesizes LinkedIn comments on his column, ""No, corporate sustainability is not dying."" The consensus is that sustainability is evolving from an idealistic, performative phase to a more pragmatic and operational one. It's becoming integrated into strategy, governance, and even executive compensation. Despite challenges like burnout and political pushback, there is quiet, steady progress being made by a resilient cohort of professionals.",Business Response;Communications;Psychology,https://www.linkedin.com/posts/makower_is-corporate-sustainability-dying-industry-activity-7358584086514315264-Wh-c
Y,2025-09-02,Lubomila Jordanova,Spain Mandates Carbon Reporting in New Climate Emergency Plan,"Spain has launched an ambitious national climate pact, making carbon reporting mandatory for companies. The plan follows devastating wildfires and accelerates the country's decarbonization timeline, aiming for 100% renewable electricity by 2050. Key measures include mandatory Scope 1 & 2 reporting from 2026, significant investment in solar and green hydrogen, and new construction limitations in high-risk areas. Spain is positioning itself as Europe's clean energy leader, creating both strategic imperatives and opportunities for businesses.",Policies and Measures;Business Impacts;Economics,https://www.linkedin.com/posts/ljordanova_climatechange-decarbonisation-spain-activity-7368937391241281536-uuDw
Y,2025-09-02,Behavior x Climate,Why Half a Degree of Warming Matters,"The post highlights the critical difference between 1.5°C and 2°C of global warming, using a WWF infographic to illustrate the escalating impacts. A 2°C world would see a 170% increase in flood risk, ice-free Arctic summers every decade, and 2 billion people exposed to heatwaves. The number of species at risk doubles or triples, and coral reefs would be virtually eliminated. The post emphasizes that every fraction of a degree is a lifeline for ecosystems and economies, urging immediate action from governments, businesses, and individuals.",Impacts;Science;Visualizations,https://www.linkedin.com/posts/behavior-x-climate_climatechange-netzero-sustainability-activity-7368930800399994881--SL-
Y,2025-09-02,Gavin Mooney,The Win-Win of Agrivoltaics: Combining Solar and Agriculture,"The post explores the benefits of agrivoltaics, the practice of using land for both solar energy and agriculture. Solar panels create microhabitats that benefit grazing animals like sheep, providing shade that reduces heat stress and promotes more nutritious forage. For agriculture, the shade reduces water evaporation and benefits certain crops, while for solar farms, animals manage vegetation, reducing maintenance and fire risk. This dual-land-use approach increases land yield, provides an additional income source for farmers, and is a clear win-win for energy and food security.",Solutions;Abundance;Business Response,https://www.linkedin.com/posts/gavinmooney_energy-sustainability-renewables-activity-7368881270350630915-k9dr
Y,2025-08-13,Andreas Rasche,Robust Sustainability Disclosures are a Necessity Not a Luxury,"Rasche quotes a Financial Times op-ed arguing against the EU's ""omnibus"" proposal to reduce the scope of the Corporate Sustainability Reporting Directive (CSRD). The post contends that descoping most companies from CSRD damages Europe's long-term competitiveness by creating data gaps for investors and regulators. This increases the risk that taxpayers will bear climate costs. The author advocates for meaningful simplification of rules, like the revised ESRS, rather than broad exemptions that undermine the core objectives of the directive.",Policies and Measures;Risk Disclosure;Economics,https://www.linkedin.com/posts/andreasrasche_omnibus-csrd-esrs-activity-7359233733935194112-X7MB
Y,2025-08-04,Nick Robins,A Tribute to Climate Diplomat Pete Betts and the Art of the Possible,"The post reflects on the posthumous book by Pete Betts, a long-time UK and EU climate diplomat. The book offers an insightful personal history of international climate negotiations and highlights Betts's significant impact on global cooperation. Robins shares Betts's final, poignant message, written weeks before his death, urging people to pursue ""the art of the possible"" and avoid turning climate into a culture war. The book serves as a testament to Betts's conviction and the importance of dedicated diplomacy in addressing the climate crisis.",Communications;Psychology;Policies and Measures,https://www.linkedin.com/posts/nick-robins-5293a715_theclimatediplomat-activity-7357821883649589249-gL72
Y,2025-09-02,Ingmar Rentzhog,The Vatican's Shift from Silencing Science to Championing Climate Action,"This post contrasts the Vatican's historical silencing of Galileo with its modern role in elevating climate science. It highlights the recent Vatican Resilience Summit, which brought together leaders and scientists to focus on evidence and humanity. The author argues that when an institution with the Vatican's moral reach supports science, it can mobilize millions. The post includes a short documentary from the summit, emphasizing the need to unite around science to secure our common future and #MakeScienceGreatAgain.",Communications;Psychology;Science,https://www.linkedin.com/posts/rentzhog_vatican-makesciencegreatagain-wedonthavetime-ugcPost-7368725952266170370-oX-J
Y,2025-09-02,Carl Bärstad,Satirical Hit Piece Exposes Norway's Climate Hypocrisy,"The post shares a political satire video by The Juice Media that critiques Norway's image as a climate leader. The video highlights the contradiction between Norway's high EV adoption and renewable energy use and its status as a major petro-state aggressively expanding oil and gas extraction. The satire points out that Norway's sovereign wealth fund invests in fossil fuels, and the state-owned company Equinor engages in ""petroganda."" The post argues that despite its green reputation, Norway's economy is deeply entangled with fossil fuels, undermining its climate efforts.",Communications;Policies and Measures;Economics,https://www.linkedin.com/posts/carlbarstad_absolutely-brilliant-political-satire-hit-activity-7368585847555665922-IrGm
Y,2025-08-04,Gabriel L.,Aviation's Decarbonization Narrative Faces a Reckoning,"The author argues that the recent decision by Boeing and Airbus to pause green aircraft projects is a long-overdue reality check for the aviation industry. The post contends that technologies like hydrogen are technically immature and economically implausible for large-scale air travel, and Sustainable Aviation Fuel (SAF) is nowhere near the scale required. With no viable zero-emission aircraft on the horizon, the industry's net-zero commitments lack credibility. The author concludes that demand restraint may be the only effective lever left, which will likely be forced upon the industry by regulation and investor pressure.",Business Impacts;Solutions;Economics,https://www.linkedin.com/posts/laeragabriel_boeing-and-airbus-ground-green-plane-projects-activity-7358323564065820674-jW1k
Y,2025-08-13,Justin Moran,"Why ""Breaking the Link with Gas"" Isn't Simple for Electricity Prices","This post addresses the common suggestion that Irish electricity prices could be easily reduced by ""breaking the link with the price of gas."" Moran explains that the current market system, where the most expensive generator (often gas) sets the price for all, is designed to ensure a reliable electricity supply. While this means renewables can earn high profits, it also incentivizes investment in cheaper, cleaner energy. The author argues that simply changing this marginal pricing model is more complicated than it sounds and could have unintended consequences for market stability and the energy transition.",Economics;Policies and Measures;Solutions,https://www.linkedin.com/posts/justin-moran-281ab220_breaking-up-with-gas-its-a-bit-more-complicated-activity-7359581376284688384-GGX0
Y,2025-08-06,Dave Sawyer,A State of Play on Canada's Climate Policy,"Sawyer provides an overview of Canada's progress toward its 2030 GHG target. While emissions are down 8% since 2005 and electricity emissions have dropped nearly 60%, these gains are being wiped out by a 150% increase in emissions from the oil sands. The post notes that recent policy rollbacks and a focus on unproven technologies like CCUS are putting the national plan off track. Sawyer argues for strengthening what works (like pricing and regulations), improving federal-provincial coordination, and focusing on scaling proven clean technologies rather than chasing short-term noise.",Policies and Measures;Economics;Business Impacts,https://www.linkedin.com/posts/dave-sawyer-1ab35762_a-state-of-play-climate-policy-ramble-i-activity-7358988188373110785-PiZT
Y,2025-08-06,John Lang,China's Clean Energy Exports Drive Global Decarbonization,"The post highlights a Carbon Brief analysis showing that China's clean energy exports in 2024 could cut over 4 billion tonnes of CO2 over their lifetimes. Despite legitimate concerns about subsidies and trade practices, the author argues that China's ""dumping"" of clean tech is accelerating the global energy transition and enabling lower-income nations to access cheap renewables. China dominates the manufacturing of solar panels, batteries, and EVs, and its overseas investments are expanding this footprint. This contrasts with the US, where political opposition to renewables threatens to leave an investment gap that China is poised to fill.",Economics;Policies and Measures;Solutions,https://www.linkedin.com/posts/john-langab_analysis-chinas-clean-energy-exports-in-activity-7358438477237002240-CVXL
Y,2025-08-13,Amelia Zimmerman,Can Autocracies Drive Faster Climate Action?,"The post explores the provocative idea of whether autocratic governance could be more effective for climate action. Zimmerman notes that features of autocracies, like long planning horizons and public-private coordination, are theoretically ideal for tackling climate change. However, the key problem is that most dictators do not prioritize the issue. The post references a Guardian report on national governance and climate action, pointing to China's rapid rollout of rail, solar, and EV infrastructure as an example of what's possible under a command-and-control system.",Policies and Measures;Psychology;Economics,https://www.linkedin.com/posts/ameliazimmerman_do-you-ever-just-dream-of-living-under-activity-7359161421563064321-04ec
Y,2025-08-04,Ben Santer,Department of Energy Misrepresents Key Climate Fingerprint Research,"Atmospheric scientist Ben Santer expresses concern over a recent U.S. Department of Energy (DOE) report that he says fundamentally misrepresents his research. Santer's work, including a 2023 PNAS paper, found ""incontrovertible evidence of human effects on the thermal structure of Earth’s atmosphere."" He states that the new DOE report incorrectly implies his paper found no evidence of human effects on climate. Santer laments that the DOE, where he worked for 30 years, is now engaged in efforts to cast doubt on established climate science.",Science;Communications;Policies and Measures,https://www.linkedin.com/posts/ben-santer-29b3996_exceptional-stratospheric-contribution-to-activity-7357078563671474177-x8Fx
Y,2025-08-06,Rebecca Gualandi,EU Importers Anxious Over Lack of CBAM Implementation Details,"The post highlights the growing anxiety among EU importers as the carbon border adjustment mechanism (CBAM) is set to come into full force on Jan 1, 2026. A large number of key regulations and data points are still missing, creating uncertainty for businesses. The author lists several crucial items that the EU's Tax directorate still needs to deliver before the end of 2025. These include rules on circumvention, scope extension, verifier accreditation, and customs communication, leaving businesses with little time to prepare for the complex new system.",Policies and Measures;Business Impacts;Risk Disclosure,https://www.linkedin.com/posts/rebecca-gualandi-4a17b189_feature-eu-importers-nervous-over-lack-of-activity-7358876446129303554-Ltsv
Y,2025-08-27,James Fann,Applying Gladwell's Tipping Point to Carbon Capture,"The post applies Malcolm Gladwell's ""Tipping Point"" theory to the adoption of carbon capture and storage (CCS). Fann suggests that when about 30% of a group adopts something, it becomes the norm. He notes that Europe and the UK are approaching this ""Magic Third"" for CCS in heavy industry, while North America and the rest of the world lag behind. The author argues that for CCS to move from an experimental side strategy to an essential backbone of industrial net-zero, it needs ""superspreaders""—policymakers, CEOs, and investors—to champion it and push it past the adoption threshold.",Solutions;Business Response;Psychology,https://www.linkedin.com/posts/james-fann_athird-thats-the-number-malcolm-gladwell-activity-7366149274792882176-CxzK
Y,2025-08-06,Andrew Sissons,A Critique of The Economist's View on UK Net Zero Policy,"The author critiques an Economist article that questioned Britain's approach to net zero, arguing it gets three key things wrong. First, it ignores the growing periods of very cheap electricity from renewables. Second, it misdiagnoses the reasons for rising offshore wind costs (interest rates and inflation), while ignoring similar issues for nuclear. Third, it focuses on past policy mistakes rather than offering a better alternative strategy for the future. Sissons concludes that while UK energy policy is in a difficult place, we must deal with the current reality rather than pretending there's an easy alternative.",Economics;Policies and Measures;Communications,https://www.linkedin.com/posts/andrew-sissons-013b7433_i-want-to-come-back-properly-on-the-economist-activity-7358540423809667074-6lDX
Y,2025-08-06,Chris Lyle,"ICAO's CORSIA Remains a ""Woefully Inadequate"" Climate Measure","The post critiques the latest Working Paper on CORSIA (Carbon Offsetting and Reduction Scheme for International Aviation) from the ICAO Council. The author describes the measure as ""woefully inadequate"" for mitigating aviation emissions and notes that the lengthy paper proposes no significant changes to the existing resolution. Lyle expresses hope that thoughtful input from China and other member states might lead to policy adjustments. He ultimately suggests that ICAO is failing to strengthen the measure, and that climate action for aviation may need to be addressed at the UNFCCC's COP30.",Policies and Measures;Offsets;Business Impacts,https://www.linkedin.com/posts/chris-lyle-6b084098_icao-assembly-corsia-the-massive-72-activity-7358851695491121152-eLRu
Y,2025-08-20,World Meteorological Organization,Rising Temperatures Increase Threat of Glacial Lake Outburst Floods,"The WMO shares footage of the Mendenhall Glacier in Alaska, explaining the process of a glacial lake outburst flood (GLOF). As glaciers melt, they can form natural ice dams that trap meltwater, which can then be released suddenly, causing devastating floods. This phenomenon is becoming more frequent and severe due to rising global temperatures, threatening communities in high-mountain regions worldwide. The WMO emphasizes the importance of its Global Cryosphere Watch program in monitoring these hazards and strengthening early warning systems.",Impacts;Science;Visualizations,https://www.linkedin.com/posts/world-meteorological-organization_earlywarningsforall-glaciers2025-activity-7363507301690802177-LJ-D
Y,2025-08-13,Ajay Gambhir,"Revisiting the 1972 ""Limits to Growth"" Study","The author reflects on the original 1972 ""Limits to Growth"" study by the Club of Rome, praising its clear causal loop diagrams. The post highlights the interconnected feedbacks between pollution, food, mortality, and economic output that were central to the study's World3 model. Gambhir notes that, over 50 years later, most modern integrated assessment models still fail to capture these complex systemic interactions. This suggests that there is still significant work to do in modeling the true dynamics of our global system.",Science;Economics;New Reports,https://www.linkedin.com/posts/ajay-gambhir-2207423_fascinating-reading-the-original-1972-limits-activity-7359126388026634240-bfBe
Y,2025-08-28,Peter du Toit,Climate Change Made Mediterranean Wildfires 10 Times More Likely,"The post discusses an attribution study on the deadly summer wildfires in Türkiye, Cyprus, and Greece, which concluded that the underlying weather conditions were made 10 times more likely by climate change. One of the study's authors noted that the increasing intensity of fire weather is already outpacing adaptation efforts. The author connects this to the IPCC's warnings on adaptation limits, noting that above 1.5°C of warming, many natural systems and ecosystem-based adaptation measures will lose their effectiveness.",Impacts;Science;New Reports,https://www.linkedin.com/posts/peterdutoit_adaptationlimits-activity-7366826906060611584-8xle
Y,2025-09-02,Antonio Vizcaya Abdo,A Guide to Integrating Sustainability into Supply Chain Due Diligence,"This post summarizes a guide by PRI for private market investors on integrating sustainability into supply chain management. It emphasizes that supply chain risks, from human rights abuses to environmental violations, are now financially material issues. With tightening regulations like the EU's CSDDD, proactive due diligence is a strategic necessity. The post highlights that strong supply chain management not only mitigates risk but also creates value by improving resilience, reducing costs, and strengthening brand reputation for portfolio companies.",Business Response;Risk Disclosure;Policies and Measures,https://www.linkedin.com/posts/antonio-vizcaya-abdo-5773769b_sustainability-in-supply-chains-ugcPost-7368774378068590592-4MqW
Y,2025-08-04,Denise Hearn,Antitrust Case Against Major Asset Managers Tests Investor Collaboration,"The post discusses a landmark antitrust lawsuit against BlackRock, State Street, and Vanguard, which alleges that their participation in climate initiatives violates antitrust law. The case tests the novel legal theory of ""common ownership,"" where owning stakes in competing companies incentivizes collusion. The author notes the irony that this theory, long promoted by progressives, is now being used by conservatives with an anti-ESG agenda. The ruling could have wide-ranging implications for investor stewardship, collaborative sustainability efforts, and the structure of index fund investing.",Litigation;Policies and Measures;Economics,https://www.linkedin.com/posts/denisehearn_texas-v-blackrock-puts-the-common-ownership-activity-7358171696731754496-56Mb
Y,2025-08-06,Michael Barnard,Billionaire Twiggy Forrest's Denial of Hydrogen's Climate Risks,"The author criticizes Australian billionaire Andrew ""Twiggy"" Forrest for dismissing the climate risks of hydrogen, calling it a form of ""hydrogen climate harm denial."" The post explains that hydrogen is an indirect greenhouse gas because it prolongs the atmospheric lifetime of methane. Peer-reviewed studies show hydrogen has a significant global warming potential, and leakage is unavoidable across the supply chain. Forrest's dismissal of this science mirrors classic climate denialism, and the author urges a focus on proven decarbonization strategies over ""billionaire dreams.""",Science;Solutions;Communications,https://www.linkedin.com/posts/michael-barnard-42446_twiggy-forrests-billionaire-bubble-on-hydrogen-activity-7358868613375717377-l9jJ
Y,2025-08-04,Hans Stegeman,Climate Action Failure is Due to Power Worldviews and Economics,"The author argues that we are failing on climate action not because of a lack of solutions, but because of who makes decisions and the demands of our economic system. The post points to the organized political backlash against climate policy from far-right actors and the powerful influence of competing institutional logics (e.g., economic vs. ecological). The author concludes that a paradigm shift to a post-growth, regenerative economy is necessary, which requires both top-down policy changes and bottom-up community action.",Policies and Measures;Economics;Psychology,https://www.linkedin.com/posts/hans-stegeman_we-are-not-failing-on-climate-action-because-activity-7356672593233420288-Kypi
Y,2025-09-01,Felix Hawkings,"German Court Ruling Challenges ""CO2 Neutral"" Claims","A German court has challenged Apple's advertising of its ""CO2 neutral"" Apple Watch, signaling increased scrutiny of sustainability marketing. The ruling questioned whether the full lifecycle emissions were accounted for, how heavily the claim relied on carbon offsets versus direct reductions, and if the term was misleading to consumers. The author notes this is part of a broader regulatory trend, with the EU's Green Claims Directive tightening rules. This may force companies to abandon broad terms like ""carbon neutral"" for more specific, verifiable claims about their climate impact.",Communications;Litigation;Business Response;Offsets,https://www.linkedin.com/posts/felixhawkings_what-does-co2-neutral-truly-mean-a-german-activity-7368191020334809088-Wzjp
Y,2025-08-31,Jozef Pecho,Do Higher Clouds Increase Global Warming? Not Necessarily.,"The post discusses a new study from the Max Planck Institute that examines how rising cloud heights affect climate sensitivity. The research found that two opposing effects nearly cancel each other out: higher clouds trap more heat, but they also block radiation that CO2 would otherwise absorb. As a result, the vertical shift of clouds alone, without changes in brightness or coverage, may not significantly increase global warming. This finding provides a new baseline for climate models and helps reduce uncertainty in future climate projections.",Science;Impacts,https://www.linkedin.com/posts/jozef-pecho-13bb4350_clouds-are-rising-but-are-they-warming-activity-7367879849337589760-w7U-
Y,2025-08-31,Hans Stegeman,Mapping the Collision of Economic Activity and Ecological Overshoot,"The post highlights a new study showing that 60% of the world's land area is already beyond its ecological boundaries, particularly impacting biodiversity, water, and nutrient cycles. The author juxtaposes a map of this ecological overshoot with a map of GDP per capita, illustrating the clear link between economic activity and environmental degradation. He argues the challenge for the next decade is to realign our economy with planetary limits and redefine prosperity. Without a livable planet, GDP per capita becomes meaningless.",Economics;Impacts;Science,https://www.linkedin.com/posts/hans-stegeman_%F0%9D%90%82%F0%9D%90%AB%F0%9D%90%A8%F0%9D%90%AC%F0%9D%90%AC%F0%9D%90%A2%F0%9D%90%A7%F0%9D%90%A0-%F0%9D%90%8F%F0%9D%90%A5%F0%9D%90%9A%F0%9D%90%A7%F0%9D%90%9E%F0%9D%90%AD%F0%9D%90%9A%F0%9D%90%AB%F0%9D%90%B2-%F0%9D%90%81-ugcPost-7367514966041497600-nSQo
